,School DBN,School Name,School District,Residential District,Total Applicants Residential District,True Applicants Residential District,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
count,10272,10272,10272.0,10272.0,10272.0,10272.0,10272.0,10272.0,10272.0,10272.0,10272.0,10272.0
unique,422,422,,,,,,,,,,
top,02M298,Pace High School,,,,,,,,,,
freq,32,32,,,,,,,,,,
mean,,,13.526382398753894,16.435066199376948,49.59667056074766,14.883177570093459,1360.5118769470405,418.41997663551405,184.55140186915887,153.38823987538942,0.3873171999856835,46.60806074766355
std,,,9.659225525572122,9.149281154737027,153.22804700406544,65.84698410151172,1580.4370302411278,747.028252107034,173.33192962873366,215.81932689518626,0.3112360400920399,41.71605672663689
min,,,1.0,1.0,1.0,1.0,40.0,3.0,25.0,-2.0,0.008695652173913044,1.0
25%,,,3.0,9.0,2.0,1.0,477.0,75.0,102.0,-2.0,0.1428571428571428,9.0
50%,,,12.0,16.0,7.0,1.0,768.0,152.0,120.0,107.0,0.3076923076923077,36.0
75%,,,21.0,24.0,35.0,6.0,1447.0,378.0,176.0,193.0,0.5,78.0
max,,,32.0,32.0,3178.0,1628.0,11658.0,5495.0,1158.0,1357.0,1.0,183.0
