School DBN,School Name,School District,Home Borough,Total Applicants Borough,True Applicants Borough,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
01M292,Orchard Collegiate Academy,1,Bronx,12,12.0,280,71.0,90,6,1.0,1
01M292,Orchard Collegiate Academy,1,Brooklyn,20,20.0,280,71.0,90,6,1.0,1
01M292,Orchard Collegiate Academy,1,Manhattan,192,65.0,280,71.0,90,6,0.3385416666666667,306
01M292,Orchard Collegiate Academy,1,Queens,9,9.0,280,71.0,90,6,1.0,1
01M292,Orchard Collegiate Academy,1,Staten Island,1,1.0,280,71.0,90,6,1.0,196
01M292,Orchard Collegiate Academy,1,Unknown,1,1.0,280,71.0,90,6,1.0,263
01M448,University Neighborhood High School,1,Bronx,199,29.0,2248,447.0,125,185,0.1457286432160804,341
01M448,University Neighborhood High School,1,Brooklyn,846,159.0,2248,447.0,125,185,0.1879432624113475,336
01M448,University Neighborhood High School,1,Manhattan,957,147.0,2248,447.0,125,185,0.1536050156739812,365
01M448,University Neighborhood High School,1,Queens,119,38.0,2248,447.0,125,185,0.31932773109243695,313
01M448,University Neighborhood High School,1,Staten Island,6,6.0,2248,447.0,125,185,1.0,1
01M448,University Neighborhood High School,1,Unknown,32,3.0,2248,447.0,125,185,0.09375,227
01M450,East Side Community School,1,Bronx,162,29.0,1142,328.0,95,117,0.17901234567901234,310
01M450,East Side Community School,1,Brooklyn,250,56.0,1142,328.0,95,117,0.224,320
01M450,East Side Community School,1,Manhattan,554,153.0,1142,328.0,95,117,0.27617328519855594,322
01M450,East Side Community School,1,Queens,64,33.0,1142,328.0,95,117,0.515625,252
01M450,East Side Community School,1,Staten Island,2,2.0,1142,328.0,95,117,1.0,1
01M450,East Side Community School,1,Unknown,14,10.0,1142,328.0,95,117,0.7142857142857143,68
01M458,Forsyth Satellite Academy,1,Bronx,8,8.0,60,12.0,28,6,1.0,1
01M458,Forsyth Satellite Academy,1,Brooklyn,7,7.0,60,12.0,28,6,1.0,1
01M458,Forsyth Satellite Academy,1,Manhattan,13,13.0,60,12.0,28,6,1.0,1
01M458,Forsyth Satellite Academy,1,Queens,5,5.0,60,12.0,28,6,1.0,1
01M458,Forsyth Satellite Academy,1,Staten Island,1,1.0,60,12.0,28,6,1.0,196
01M458,Forsyth Satellite Academy,1,Unknown,1,1.0,60,12.0,28,6,1.0,263
01M515,Lower East Side Preparatory High School,1,Bronx,13,13.0,317,89.0,75,6,1.0,1
01M515,Lower East Side Preparatory High School,1,Brooklyn,69,25.0,317,89.0,75,6,0.36231884057971014,242
01M515,Lower East Side Preparatory High School,1,Manhattan,103,35.0,317,89.0,75,6,0.33980582524271846,305
01M515,Lower East Side Preparatory High School,1,Queens,24,18.0,317,89.0,75,6,0.75,217
01M515,Lower East Side Preparatory High School,1,Staten Island,2,2.0,317,89.0,75,6,1.0,1
01M515,Lower East Side Preparatory High School,1,Unknown,33,21.0,317,89.0,75,6,0.6363636363636364,70
01M539,"New Explorations into Science, Technology and Math High School",1,Bronx,372,157.0,3743,2047.0,150,289,0.4220430107526882,212
01M539,"New Explorations into Science, Technology and Math High School",1,Brooklyn,1172,613.0,3743,2047.0,150,289,0.523037542662116,196
01M539,"New Explorations into Science, Technology and Math High School",1,Manhattan,1425,807.0,3743,2047.0,150,289,0.5663157894736842,253
01M539,"New Explorations into Science, Technology and Math High School",1,Queens,646,329.0,3743,2047.0,150,289,0.5092879256965944,255
01M539,"New Explorations into Science, Technology and Math High School",1,Staten Island,16,11.0,3743,2047.0,150,289,0.6875,156
01M539,"New Explorations into Science, Technology and Math High School",1,Unknown,61,37.0,3743,2047.0,150,289,0.6065573770491803,71
01M696,Bard High School Early College,1,Bronx,665,359.0,3946,2196.0,125,198,0.5398496240601504,195
01M696,Bard High School Early College,1,Brooklyn,1252,616.0,3946,2196.0,125,198,0.49201277955271566,202
01M696,Bard High School Early College,1,Manhattan,1174,679.0,3946,2196.0,125,198,0.5783645655877342,248
01M696,Bard High School Early College,1,Queens,688,397.0,3946,2196.0,125,198,0.5770348837209303,234
01M696,Bard High School Early College,1,Staten Island,14,9.0,3946,2196.0,125,198,0.6428571428571429,157
01M696,Bard High School Early College,1,Unknown,86,48.0,3946,2196.0,125,198,0.5581395348837209,73
02M047,47 The American Sign Language and English Secondary School,2,Bronx,101,23.0,318,55.0,69,6,0.22772277227722773,261
02M047,47 The American Sign Language and English Secondary School,2,Brooklyn,43,31.0,318,55.0,69,6,0.7209302325581395,171
02M047,47 The American Sign Language and English Secondary School,2,Manhattan,56,26.0,318,55.0,69,6,0.4642857142857143,273
02M047,47 The American Sign Language and English Secondary School,2,Queens,26,21.0,318,55.0,69,6,0.8076923076923077,209
02M047,47 The American Sign Language and English Secondary School,2,Staten Island,1,1.0,318,55.0,69,6,1.0,196
02M047,47 The American Sign Language and English Secondary School,2,Unknown,2,2.0,318,55.0,69,6,1.0,1
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,Bronx,141,20.0,510,116.0,122,6,0.14184397163120568,345
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,Brooklyn,111,31.0,510,116.0,122,6,0.27927927927927926,278
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,Manhattan,108,33.0,510,116.0,122,6,0.3055555555555556,316
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,Queens,44,23.0,510,116.0,122,6,0.5227272727272727,249
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,Staten Island,4,4.0,510,116.0,122,6,1.0,1
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,Unknown,2,2.0,510,116.0,122,6,1.0,1
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,Bronx,89,23.0,432,88.0,108,6,0.25842696629213485,250
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,Brooklyn,30,23.0,432,88.0,108,6,0.7666666666666667,165
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,Manhattan,194,40.0,432,88.0,108,6,0.20618556701030927,346
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,Queens,27,17.0,432,88.0,108,6,0.6296296296296297,224
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,Staten Island,2,2.0,432,88.0,108,6,1.0,1
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,Unknown,2,2.0,432,88.0,108,6,1.0,1
02M260,The Clinton School,2,Bronx,211,34.0,2837,1151.0,134,221,0.16113744075829384,324
02M260,The Clinton School,2,Brooklyn,722,252.0,2837,1151.0,134,221,0.3490304709141274,249
02M260,The Clinton School,2,Manhattan,1637,718.0,2837,1151.0,134,221,0.43860720830788025,279
02M260,The Clinton School,2,Queens,145,51.0,2837,1151.0,134,221,0.35172413793103446,301
02M260,The Clinton School,2,Staten Island,6,6.0,2837,1151.0,134,221,1.0,1
02M260,The Clinton School,2,Unknown,38,12.0,2837,1151.0,134,221,0.3157894736842105,109
02M280,Manhattan Early College School for Advertising,2,Bronx,154,29.0,572,88.0,112,6,0.18831168831168832,294
02M280,Manhattan Early College School for Advertising,2,Brooklyn,99,30.0,572,88.0,112,6,0.30303030303030304,268
02M280,Manhattan Early College School for Advertising,2,Manhattan,192,38.0,572,88.0,112,6,0.19791666666666666,348
02M280,Manhattan Early College School for Advertising,2,Queens,20,20.0,572,88.0,112,6,1.0,1
02M280,Manhattan Early College School for Advertising,2,Staten Island,5,5.0,572,88.0,112,6,1.0,1
