School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
01M292,Orchard Collegiate Academy,1,ARABIC,1,1.0,280.0,71.0,90.0,6.0,1.0,259
01M292,Orchard Collegiate Academy,1,BANGLA,1,1.0,280.0,71.0,90.0,6.0,1.0,241
01M292,Orchard Collegiate Academy,1,CANTONESE,12,1.0,280.0,71.0,90.0,6.0,0.08333333333333333,66
01M292,Orchard Collegiate Academy,1,CHINESE/ANY,14,1.0,280.0,71.0,90.0,6.0,0.07142857142857142,122
01M292,Orchard Collegiate Academy,1,ENGLISH,164,45.0,280.0,71.0,90.0,6.0,0.27439024390243905,96
01M292,Orchard Collegiate Academy,1,FRENCH,1,1.0,280.0,71.0,90.0,6.0,1.0,144
01M292,Orchard Collegiate Academy,1,FRENCH-HAITIAN CREOLE,1,1.0,280.0,71.0,90.0,6.0,1.0,25
01M292,Orchard Collegiate Academy,1,FULANI,1,1.0,280.0,71.0,90.0,6.0,1.0,41
01M292,Orchard Collegiate Academy,1,HEBREW,1,1.0,280.0,71.0,90.0,6.0,1.0,27
01M292,Orchard Collegiate Academy,1,JAPANESE,1,1.0,280.0,71.0,90.0,6.0,1.0,47
01M292,Orchard Collegiate Academy,1,KOREAN,1,1.0,280.0,71.0,90.0,6.0,1.0,45
01M292,Orchard Collegiate Academy,1,MANDARIN,17,1.0,280.0,71.0,90.0,6.0,0.058823529411764705,137
01M292,Orchard Collegiate Academy,1,PORTUGUESE,1,1.0,280.0,71.0,90.0,6.0,1.0,49
01M292,Orchard Collegiate Academy,1,RUSSIAN,1,1.0,280.0,71.0,90.0,6.0,1.0,148
01M292,Orchard Collegiate Academy,1,SPANISH,62,19.0,280.0,71.0,90.0,6.0,0.3064516129032258,84
01M448,University Neighborhood High School,1,AFRIKAANS,1,1.0,2248.0,447.0,125.0,185.0,1.0,9
01M448,University Neighborhood High School,1,ALBANIAN,1,1.0,2248.0,447.0,125.0,185.0,1.0,75
01M448,University Neighborhood High School,1,AMHARIC (AKA ETHIOPIAN),1,1.0,2248.0,447.0,125.0,185.0,1.0,4
01M448,University Neighborhood High School,1,ARABIC,9,1.0,2248.0,447.0,125.0,185.0,0.1111111111111111,152
01M448,University Neighborhood High School,1,BAMBARA,1,1.0,2248.0,447.0,125.0,185.0,1.0,12
01M448,University Neighborhood High School,1,BANGLA,27,7.0,2248.0,447.0,125.0,185.0,0.25925925925925924,55
