School DBN,School Name,School District,Total Applicants,True Applicants,Ratio,Rank
25Q525,Townsend Harris High School,25,6780.0,4957.0,3624.1665191740412,1
22K405,Midwood High School,22,11658.0,5495.0,2590.069051295248,2
03M479,Beacon High School,3,7891.0,4442.0,2500.4896717779748,3
02M416,Eleanor Roosevelt High School,2,7699.0,3749.0,1825.5618911546953,4
26Q430,Francis Lewis High School,26,8708.0,3905.0,1751.1512402388607,5
03M541,Manhattan / Hunter Science High School,3,5406.0,2689.0,1337.5362560118388,6
24Q299,Bard High School Early College Queens,24,3866.0,2227.0,1282.857992757372,7
01M696,Bard High School Early College,1,3946.0,2196.0,1222.1023821591484,8
22K425,James Madison High School,22,6968.0,2801.0,1125.9473306544203,9
01M539,"New Explorations into Science, Technology and Math High School",1,3743.0,2047.0,1119.4787603526584,10
02M411,Baruch College Campus High School,2,6773.0,2753.0,1119.003248191348,11
26Q495,Bayside High School,26,6914.0,2765.0,1105.7600520682672,12
15K684,Millennium Brooklyn HS,15,5385.0,2365.0,1038.6675951717734,13
22K535,Leon M. Goldstein High School for the Sciences,22,3985.0,2007.0,1010.8027603513175,14
02M418,Millennium High School,2,5541.0,2290.0,946.4176141490706,15
28Q620,Thomas A. Edison Career and Technical Education High School,28,6131.0,2355.0,904.5873430109281,16
28Q440,Forest Hills High School,28,7184.0,2477.0,854.0547048997773,17
21K525,Edward R. Murrow High School,21,6293.0,2283.0,828.2359764818052,18
31R455,Tottenville High School,31,3274.0,1627.0,808.5305436774588,19
20K490,Fort Hamilton High School,20,4983.0,1995.0,798.7206502107165,20
04M435,Manhattan Center for Science and Mathematics,4,5010.0,1993.0,792.8241516966068,21
30Q501,Frank Sinatra School of the Arts High School,30,3557.0,1643.0,758.911723362384,22
24Q585,Maspeth High School,24,5045.0,1953.0,756.0374628344896,23
05M362,Columbia Secondary School,5,4258.0,1769.0,734.9368248003758,24
26Q415,Benjamin N. Cardozo High School,26,4527.0,1666.0,613.1115529047935,25
24Q610,Aviation Career & Technical Education High School,24,4123.0,1548.0,581.2039776861509,26
02M630,Art and Design High School,2,3594.0,1359.0,513.8789649415693,27
30Q580,Baccalaureate School for Global Education,30,1732.0,937.0,506.9105080831409,28
04M555,Central Park East High School,4,4762.0,1538.0,496.7333053338933,29
20K485,High School of Telecommunication Arts and Technology,20,2973.0,1210.0,492.4655230406996,30
27Q650,"High School for Construction Trades, Engineering and Architecture",27,3028.0,1209.0,482.72159841479527,31
02M260,The Clinton School,2,2837.0,1151.0,466.9725061684878,32
20K445,New Utrecht High School,20,4568.0,1443.0,455.83384413309983,33
31R047,CSI High School for International Studies,31,1755.0,879.0,440.25128205128203,34
28Q686,Queens Metropolitan High School,28,2321.0,931.0,373.44291253769927,35
31R440,New Dorp High School,31,2806.0,1011.0,364.2626514611547,36
02M412,N.Y.C. Lab School for Collaborative Studies,2,3134.0,1067.0,363.2702616464582,37
24Q600,Queens Technical High School,24,3942.0,1196.0,362.86555048198886,38
31R460,Susan E. Wagner High School,31,2611.0,968.0,358.87552661815397,39
02M376,NYC iSchool,2,2459.0,931.0,352.4851565677105,40
27Q323,Scholars' Academy,27,1065.0,580.0,315.86854460093895,41
22K555,Brooklyn College Academy,22,2698.0,911.0,307.60600444773905,42
07X495,University Heights Secondary School,7,2181.0,787.0,283.98395231545163,43
12X641,Bard High School Early College Bronx,12,1391.0,613.0,270.1430625449317,44
02M600,The High School of Fashion Industries,2,2046.0,720.0,253.3724340175953,45
02M414,N.Y.C. Museum School,2,3022.0,865.0,247.5926538716082,46
02M439,Manhattan Village Academy,2,3002.0,860.0,246.3690872751499,47
30Q575,Academy of American Studies,30,2727.0,819.0,245.97029702970298,48
31R450,Curtis High School,31,1967.0,690.0,242.043721403152,49
20K505,Franklin Delano Roosevelt High School,20,3723.0,924.0,229.32473811442387,50
17K590,Medgar Evers College Preparatory School,17,2078.0,676.0,219.91145332050047,51
28Q284,York Early College Academy,28,1602.0,580.0,209.98751560549314,52
24Q530,International High School at LaGuardia Community College,24,1236.0,505.0,206.3309061488673,53
04M495,Park East High School,4,2653.0,739.0,205.85035808518657,54
02M420,High School for Health Professions and Human Services,2,2991.0,776.0,201.32932129722502,55
27Q308,Robert H. Goddard High School of Communication Arts and Technology,27,1222.0,468.0,179.2340425531915,56
28Q167,Metropolitan Expeditionary Learning School,28,1254.0,467.0,173.914673046252,57
31R064,Gaynor McCown Expeditionary Learning School,31,777.0,364.0,170.52252252252254,58
24Q520,Middle College High School at LaGuardia Community College,24,1826.0,552.0,166.86966046002192,59
25Q425,John Bowne High School,25,3116.0,720.0,166.36713735558408,60
15K656,Brooklyn High School of the Arts,15,2104.0,574.0,156.59505703422053,61
09X260,Bronx Center for Science and Mathematics,9,2530.0,621.0,152.42727272727274,62
21K540,John Dewey High School,21,2573.0,622.0,150.3630003886514,63
21K468,Kingsborough Early College School,21,1229.0,429.0,149.74857607811228,64
13K595,Bedford Academy High School,13,2464.0,599.0,145.61728896103895,65
24Q264,Academy of Finance and Enterprise,24,2163.0,546.0,137.8252427184466,66
02M519,Talent Unlimited High School,2,1599.0,468.0,136.97560975609755,67
02M413,School of the Future High School,2,1741.0,485.0,135.10913268236646,68
24Q550,High School for Arts and Business,24,2257.0,552.0,135.00398759415154,69
