school,mean_rank,rank_variance,num_languages,min_rank,max_rank,School DBN,School Name
07X334,234.0,19095.333333333332,7,24.0,415.0,07X334,International Community High School
15K592,217.42857142857142,18122.285714285714,7,40.0,397.0,15K592,Khalil Gibran International Academy
12X251,181.57142857142858,17927.61904761905,7,53.0,380.0,12X251,Explorations Academy H.S.
18K567,228.57142857142858,17582.61904761905,7,84.0,415.0,18K567,Brooklyn Theatre Arts High School
19K510,223.28571428571428,17262.904761904763,7,128.0,422.0,19K510,World Academy for Total Community Health High School
08X282,208.14285714285714,16946.809523809523,7,86.0,412.0,08X282,Women's Academy of Excellence
12X479,227.42857142857142,16551.61904761905,7,24.0,385.0,12X479,Bronx Career and College Preparatory High School
20K609,179.57142857142858,16355.285714285716,7,28.0,381.0,20K609,Urban Assembly School for Leadership and Empowerment
02M475,249.71428571428572,15726.57142857143,7,135.0,423.0,02M475,Stuyvesant High School
14K449,249.71428571428572,15726.57142857143,7,135.0,423.0,14K449,"Brooklyn Latin School, The"
28Q687,249.71428571428572,15726.57142857143,7,135.0,423.0,28Q687,Queens High School for the Sciences at York College
10X696,249.71428571428572,15726.57142857143,7,135.0,423.0,10X696,High School of American Studies at Lehman College
03M485,249.71428571428572,15726.57142857143,7,135.0,423.0,03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts
10X445,249.71428571428572,15726.57142857143,7,135.0,423.0,10X445,The Bronx High School of Science
05M692,249.71428571428572,15726.57142857143,7,135.0,423.0,05M692,"High School for Mathematics, Science and Engineering at City College"
13K430,249.71428571428572,15726.57142857143,7,135.0,423.0,13K430,Brooklyn Technical High School
31R605,249.71428571428572,15726.57142857143,7,135.0,423.0,31R605,Staten Island Technical High School
02M438,182.14285714285714,15085.809523809521,7,24.0,416.0,02M438,International High School at Union Square
02M545,157.85714285714286,14480.142857142855,7,19.0,349.0,02M545,High School for Dual Language and Asian Studies
10X565,204.71428571428572,14441.238095238094,7,24.0,362.0,10X565,High School for Energy and Technology
09X263,220.42857142857142,14208.619047619048,7,24.0,364.0,09X263,Validus Preparatory Academy
25Q263,166.42857142857142,14158.285714285712,7,46.0,388.0,25Q263,Flushing International High School
18K563,240.14285714285714,13578.142857142857,7,144.0,407.0,18K563,It Takes a Village Academy
10X351,193.85714285714286,13375.142857142857,7,84.0,375.0,10X351,Bronx Collaborative High School
02M316,252.71428571428572,13367.904761904763,7,144.0,416.0,02M316,"Urban Assembly School of Business for Young Women, the"
09X350,253.14285714285714,13319.47619047619,7,144.0,413.0,09X350,New Directions Secondary School
02M394,230.14285714285714,13242.142857142855,7,81.0,411.0,02M394,Emma Lazarus High School
09X543,252.57142857142858,13082.285714285716,7,145.0,413.0,09X543,High School for Violin and Dance
27Q324,252.42857142857142,13018.285714285716,7,145.0,408.0,27Q324,Rockaway Park High School for Environmental Sustainability
02M399,231.14285714285714,12991.142857142857,7,81.0,378.0,02M399,The High School For Language And Diplomacy
09X404,252.42857142857142,12986.952380952382,7,145.0,413.0,09X404,School for Excellence
11X509,194.14285714285714,12980.476190476189,7,52.0,417.0,11X509,High School of Language and Innovation
10X268,251.28571428571428,12902.238095238097,7,144.0,418.0,10X268,Kingsbridge International High School
18K576,204.57142857142858,12842.285714285716,7,56.0,402.0,18K576,Victory Collegiate High School
02M425,235.71428571428572,12819.238095238094,7,90.0,383.0,02M425,Leadership and Public Service High School
25Q241,185.14285714285714,12747.809523809525,7,36.0,321.0,25Q241,Queens High School for Language Studies
02M586,251.42857142857142,12713.619047619048,7,145.0,410.0,02M586,Harvey Milk High School
19K953,251.28571428571428,12666.904761904763,7,145.0,405.0,19K953,The East New York Arts and Civics High School
19K583,251.14285714285714,12647.809523809521,7,145.0,412.0,19K583,Multicultural High School
09X517,232.14285714285714,12422.142857142855,7,77.0,373.0,09X517,Frederick Douglass Academy III Secondary School
18K569,249.85714285714286,12286.809523809521,7,144.0,403.0,18K569,Kurt Hahn Expeditionary Learning School
16K688,182.71428571428572,12280.904761904761,7,74.0,350.0,16K688,The Brooklyn Academy of Global Finance
04M680,187.14285714285714,12231.142857142857,7,24.0,323.0,04M680,"Heritage School, The"
08X636,250.28571428571428,12216.571428571428,7,145.0,399.0,08X636,Virtual Innovators Academy
02M550,250.0,12208.0,7,145.0,409.0,02M550,Liberty High School Academy for Newcomers
23K514,171.57142857142858,12154.619047619048,7,24.0,366.0,23K514,Frederick Douglass Academy VII High School
31R028,248.42857142857142,11874.285714285712,7,144.0,396.0,31R028,The Eagle Academy for Young Men of Staten Island
01M458,248.57142857142858,11767.285714285716,7,145.0,397.0,01M458,Forsyth Satellite Academy
02M313,248.71428571428572,11763.571428571428,7,145.0,394.0,02M313,"James Baldwin School, The: A School for Expeditionary Learning"
13K350,223.71428571428572,11664.904761904763,7,74.0,382.0,13K350,Urban Assembly School of Music and Art
08X348,244.0,11625.333333333334,7,145.0,419.0,08X348,Schuylerville Preparatory High School
13K439,167.42857142857142,11531.619047619046,7,73.0,395.0,13K439,Brooklyn International High School
23K644,205.85714285714286,11496.809523809525,7,83.0,407.0,23K644,Eagle Academy for Young Men II
12X511,225.0,11443.0,7,65.0,359.0,12X511,Bronx Envision Academy
08X452,187.71428571428572,11424.57142857143,7,86.0,369.0,08X452,Gotham Collaborative High School
15K463,225.0,11327.0,7,81.0,382.0,15K463,Cyberarts Studio Academy
07X670,210.71428571428572,10981.238095238097,7,84.0,356.0,07X670,Health Opportunities High School
03M299,245.28571428571428,10969.238095238097,7,145.0,414.0,03M299,The Maxine Greene HS for Imaginative Inquiry
17K539,245.28571428571428,10957.238095238097,7,144.0,408.0,17K539,High School for Service & Learning at Erasmus
08X558,195.28571428571428,10778.57142857143,7,24.0,364.0,08X558,Westchester Square Academy
09X412,203.85714285714286,10747.142857142857,7,86.0,357.0,09X412,Bronx High School of Business
06M552,196.71428571428572,10715.238095238094,7,51.0,372.0,06M552,Gregorio Luperon High School for Science and Mathematics
13K527,189.42857142857142,10712.619047619048,7,104.0,404.0,13K527,Urban Assembly Institute of Math and Science for Young Women
17K547,209.0,10518.666666666666,7,108.0,365.0,17K547,Brooklyn Academy of Science and the Environment
17K751,202.57142857142858,10464.285714285716,7,85.0,374.0,17K751,Academy for Health Careers
17K382,172.57142857142858,10461.952380952382,7,24.0,320.0,17K382,Academy for College Preparation and Career Exploration: A College Board School
16K765,244.14285714285714,10371.476190476189,7,144.0,379.0,16K765,Nelson Mandela High School
29Q327,209.71428571428572,10213.238095238094,7,112.0,404.0,29Q327,Eagle Academy for Young Men III
19K422,225.14285714285714,10209.142857142857,7,145.0,418.0,19K422,Spring Creek Community School
32K549,204.28571428571428,10175.904761904761,7,84.0,386.0,32K549,The Brooklyn School for Social Justice
16K455,218.85714285714286,10045.809523809525,7,124.0,380.0,16K455,Boys and Girls High School
08X320,222.28571428571428,10020.904761904761,7,144.0,384.0,08X320,Pelham Lab High School
09X403,197.42857142857142,10016.952380952382,7,104.0,371.0,09X403,Bronx International High School
09X365,229.57142857142858,9898.952380952382,7,145.0,429.0,,
02M542,229.57142857142858,9898.952380952382,7,145.0,429.0,,
24Q296,229.57142857142858,9898.952380952382,7,145.0,429.0,,
10X342,229.42857142857142,9832.619047619048,7,145.0,428.0,10X342,International School for Liberal Arts
17K546,228.14285714285714,9819.142857142857,7,144.0,421.0,17K546,High School for Public Service: Heroes of Tomorrow
17K524,202.57142857142858,9643.285714285714,7,124.0,402.0,17K524,International High School at Prospect Heights
17K528,218.42857142857142,9632.952380952382,7,124.0,354.0,17K528,The High School for Global Citizenship
05M157,241.14285714285714,9603.142857142857,7,144.0,369.0,05M157,The Urban Assembly School for Global Commerce
02M520,238.0,9599.0,7,145.0,411.0,02M520,Murry Bergtraum High School for Business Careers
02M395,239.85714285714286,9588.142857142857,7,145.0,402.0,02M395,A School Without Walls
18K629,233.85714285714286,9569.142857142857,7,144.0,420.0,18K629,Cultural Academy for the Arts and Sciences
11X544,225.71428571428572,9550.904761904761,7,145.0,388.0,11X544,High School for Contemporary Arts
21K337,184.71428571428572,9539.238095238095,7,81.0,376.0,21K337,International High School at Lafayette
19K404,197.0,9517.0,7,84.0,381.0,19K404,Academy for Young Writers
