Aggregate Type,Category,Number of Schools,Top School,Top School Ratio
residential,1,236,University Heights Secondary School,1.0
residential,2,340,Eagle Academy for Young Men of Harlem,1.0
residential,3,305,Abraham Lincoln High School,1.0
residential,4,308,Forest Hills High School,1.0
residential,5,335,Bedford Academy High School,1.0
residential,6,311,"Mathematics, Science Research and Technology Magnet High School",1.0
residential,7,342,Academy of Hospitality and Tourism,1.0
residential,8,374,Murry Bergtraum High School for Business Careers,1.0
residential,9,375,Baccalaureate School for Global Education,1.0
residential,10,364,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,1.0
residential,11,360,All City Leadership Secondary School,1.0
residential,12,352,"Health, Arts, Robotics, and Technology High School",1.0
residential,13,266,"Facing History School, The",1.0
residential,14,283,"Urban Assembly School of Design and Construction, The",1.0
residential,15,276,"Facing History School, The",1.0
residential,16,333,Young Women's Leadership School,1.0
residential,17,327,Bard High School Early College Bronx,1.0
residential,18,313,High School of Hospitality Management,1.0
residential,19,374,Bronx Center for Science and Mathematics,1.0
residential,20,283,Baccalaureate School for Global Education,1.0
residential,21,258,East Side Community School,1.0
residential,22,332,Lower East Side Preparatory High School,1.0
residential,23,352,Rockaway Collegiate High School,1.0
residential,24,345,Rockaway Park High School for Environmental Sustainability,1.0
residential,25,303,Medgar Evers College Preparatory School,1.0
residential,26,241,University Neighborhood High School,1.0
residential,27,378,Ralph R. McKee Career and Technical Education High School,1.0
residential,28,323,Manhattan Early College School for Advertising,1.0
residential,29,333,East Side Community School,1.0
residential,30,349,The High School for Climate Justice,1.0
residential,31,267,Academy for Careers in Television and Film,1.0
residential,32,302,Origins High School,1.0
language,ARABIC,404,Origins High School,0.8518518518518519
language,BANGLA,372,Townsend Harris High School,0.8237476808905381
language,CANTONESE,222,Townsend Harris High School,0.7857142857142857
language,CHINESE/ANY,307,Townsend Harris High School,0.8861985472154964
language,ENGLISH,421,Townsend Harris High School,0.7061701549334058
language,FRENCH,362,Bard High School Early College Queens,0.6923076923076923
language,FRENCH-HAITIAN CREOLE,199,Clara Barton High School,0.55
language,FULANI,231,Beacon High School,0.7272727272727273
language,HEBREW,102,NYC iSchool,0.7777777777777778
language,JAPANESE,143,Townsend Harris High School,0.9375
language,KOREAN,124,Bard High School Early College,0.9230769230769232
language,MANDARIN,311,Townsend Harris High School,0.8821138211382114
language,PORTUGUESE,161,Townsend Harris High School,0.875
language,RUSSIAN,295,"Queens School of Inquiry, The",0.75
language,SPANISH,424,Manhattan Bridges High School,1.0
language,AFRIKAANS,51,Staten Island Technical High School,0.0
language,ALBANIAN,255,Townsend Harris High School,0.782608695652174
language,AMHARIC (AKA ETHIOPIAN),23,University Neighborhood High School,1.0
language,BAMBARA,121,Manhattan Center for Science and Mathematics,0.1666666666666666
language,CHINESE-DIALECT UNKNOWN/OTHER,109,Leon M. Goldstein High School for the Sciences,0.7777777777777778
language,DANISH,27,Staten Island Technical High School,0.0
language,DARI/FARSI/PERSIAN,92,Francis Lewis High School,0.8571428571428571
language,DZONGKHA,58,High School of American Studies at Lehman College,0.0
language,GERMAN,76,Beacon High School,0.6153846153846154
language,GREEK,101,Frank Sinatra School of the Arts High School,0.8571428571428571
language,HAITIAN CREOLE,282,Townsend Harris High School,0.5
language,HINDI,129,Townsend Harris High School,0.8666666666666667
language,ITALIAN,137,Edward R. Murrow High School,0.75
language,LATVIAN,16,University Neighborhood High School,1.0
language,MANDINKA (AKA MANDINGO),168,Columbia Secondary School,0.1666666666666666
language,NEPALI,138,Townsend Harris High School,0.8285714285714286
language,PILIPINO (A.K.A. TAGALOG),173,Baruch College Campus High School,0.7777777777777778
language,POLISH,188,Bard High School Early College Queens,0.7368421052631579
language,PUNJABI (A.K.A. PANJABI),165,Beacon High School,0.8571428571428571
language,QUICHE,21,University Neighborhood High School,1.0
language,ROMANIAN,61,Queens Metropolitan High School,0.1666666666666666
language,RUSSIAN-YIDDISH,37,Staten Island Technical High School,0.0
language,SERBO-CROATIAN,88,Beacon High School,0.8461538461538461
language,SWEDISH,55,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,0.0
language,TADZHIK (AKA TAJIK),119,Manhattan / Hunter Science High School,0.75
language,TELUGU,25,Francis Lewis High School,0.1428571428571428
language,THAI,67,Maspeth High School,0.1666666666666666
language,TIBETAN,125,Bard High School Early College Queens,0.8333333333333334
language,TURKISH,117,Bard High School Early College,1.0
language,TWI,175,Manhattan / Hunter Science High School,0.9230769230769232
language,UKRAINIAN,201,Baruch College Campus High School,0.75
language,UNKNOWN,180,James Madison High School,0.7058823529411765
language,URDU,286,"Young Women's Leadership School, Astoria",1.0
language,UZBEK,153,International High School at LaGuardia Community College,0.8888888888888888
language,WOLOF,148,Beacon High School,0.1666666666666666
language,(AMERICAN) SIGN LANGUAGE,83,Staten Island Technical High School,0.0
language,BENGALI,62,East Side Community School,1.0
language,BOSNIAN,54,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,0.0
language,CZECH,25,Staten Island Technical High School,0.0
language,FIJIAN,22,Staten Island Technical High School,0.0
language,GEORGIAN,129,Leon M. Goldstein High School for the Sciences,0.5714285714285714
language,HAUSA,115,Beacon High School,0.1666666666666666
language,INDONESIAN (AKA BAHASA),62,Townsend Harris High School,0.8333333333333334
language,MEXICAN SPANISH,33,East Side Community School,1.0
language,SONINKE,179,Manhattan Center for Science and Mathematics,0.5
language,SWAHILI (A.K.A. KISWAHILI),7,East Side Community School,1.0
language,VIETNAMESE,117,Midwood High School,0.875
language,AKAN,36,Staten Island Technical High School,0.0
language,ARMENIAN,26,Midwood High School,0.1666666666666666
language,BASQUE,20,Staten Island Technical High School,0.0
language,BULGARIAN,57,Eleanor Roosevelt High School,0.1428571428571428
language,BURMESE,99,James Madison High School,0.1666666666666666
language,CHINESE/ANY-SPANISH,33,Midwood High School,0.1428571428571428
language,EWE,95,Staten Island Technical High School,0.0
language,FINNISH,21,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,0.0
language,GUJARATI,81,Townsend Harris High School,0.9166666666666666
language,HUNGARIAN,67,Staten Island Technical High School,0.0
language,IBO,74,Staten Island Technical High School,0.0
language,MACEDONIAN,26,Staten Island Technical High School,0.0
language,NIGER-CONGO,65,High School of American Studies at Lehman College,0.0
language,PASHTO (A.K.A. PUSHTO),66,Townsend Harris High School,0.6666666666666666
language,MALINKE,34,High School of American Studies at Lehman College,0.0
language,SIDAMO,9,The Urban Assembly Early College High School for Emergency Medicine,1.0
language,YORUBA,115,Midwood High School,0.1666666666666666
language,AZERBAIJANI (AKA AZERI),6,The Clinton School,1.0
language,DUTCH,49,High School of American Studies at Lehman College,0.0
language,FRENCH-KHMER,31,The Clinton School,1.0
language,GURMA,1,The Clinton School,1.0
language,LITHUANIAN,13,Staten Island Technical High School,0.0
language,SOMALI,11,The Clinton School,1.0
language,Unknown,27,The Clinton School,1.0
language,JAMAICAN-CREOLE,50,Staten Island Technical High School,0.0
