School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
20K490,Fort Hamilton High School,20,ARABIC,161,90.0,4983.0,1995.0,883.0,903.0,50.31055900621118,1
22K405,Midwood High School,22,ARABIC,171,87.0,11658.0,5495.0,910.0,1323.0,44.26315789473684,2
20K485,High School of Telecommunication Arts and Technology,20,ARABIC,108,69.0,2973.0,1210.0,310.0,363.0,44.083333333333336,3
25Q525,Townsend Harris High School,25,ARABIC,82,58.0,6780.0,4957.0,290.0,374.0,41.02439024390244,4
03M479,Beacon High School,3,ARABIC,64,47.0,7891.0,4442.0,360.0,493.0,34.515625,5
03M541,Manhattan / Hunter Science High School,3,ARABIC,76,49.0,5406.0,2689.0,108.0,176.0,31.592105263157894,6
24Q299,Bard High School Early College Queens,24,ARABIC,80,49.0,3866.0,2227.0,125.0,166.0,30.0125,7
22K425,James Madison High School,22,ARABIC,118,56.0,6968.0,2801.0,837.0,940.0,26.576271186440678,8
24Q610,Aviation Career & Technical Education High School,24,ARABIC,111,54.0,4123.0,1548.0,530.0,723.0,26.27027027027027,9
31R455,Tottenville High School,31,ARABIC,86,45.0,3274.0,1627.0,1158.0,1357.0,23.546511627906977,10
30Q580,Baccalaureate School for Global Education,30,ARABIC,59,37.0,1732.0,937.0,97.0,94.0,23.203389830508474,11
22K611,Origins High School,22,ARABIC,27,23.0,296.0,126.0,128.0,211.0,19.59259259259259,12
22K535,Leon M. Goldstein High School for the Sciences,22,ARABIC,60,33.0,3985.0,2007.0,258.0,429.0,18.15,13
02M416,Eleanor Roosevelt High School,2,ARABIC,73,35.0,7699.0,3749.0,136.0,224.0,16.78082191780822,14
30Q575,Academy of American Studies,30,ARABIC,95,38.0,2727.0,819.0,170.0,224.0,15.2,15
20K445,New Utrecht High School,20,ARABIC,102,39.0,4568.0,1443.0,630.0,730.0,14.911764705882353,16
01M696,Bard High School Early College,1,ARABIC,49,26.0,3946.0,2196.0,125.0,198.0,13.795918367346939,17
26Q430,Francis Lewis High School,26,ARABIC,72,31.0,8708.0,3905.0,913.0,1030.0,13.347222222222221,18
