School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
25Q525,Townsend Harris High School,25,CHINESE/ANY,413,366.0,6780.0,4957.0,290.0,374.0,324.34866828087166,1
22K405,Midwood High School,22,CHINESE/ANY,655,405.0,11658.0,5495.0,910.0,1323.0,250.4198473282443,2
26Q430,Francis Lewis High School,26,CHINESE/ANY,704,401.0,8708.0,3905.0,913.0,1030.0,228.41051136363637,3
26Q495,Bayside High School,26,CHINESE/ANY,458,217.0,6914.0,2765.0,851.0,1041.0,102.81441048034935,4
22K535,Leon M. Goldstein High School for the Sciences,22,CHINESE/ANY,304,170.0,3985.0,2007.0,258.0,429.0,95.0657894736842,5
20K490,Fort Hamilton High School,20,CHINESE/ANY,407,173.0,4983.0,1995.0,883.0,903.0,73.53562653562653,6
15K684,Millennium Brooklyn HS,15,CHINESE/ANY,256,135.0,5385.0,2365.0,178.0,252.0,71.19140625,7
02M416,Eleanor Roosevelt High School,2,CHINESE/ANY,226,117.0,7699.0,3749.0,136.0,224.0,60.57079646017699,8
20K445,New Utrecht High School,20,CHINESE/ANY,431,159.0,4568.0,1443.0,630.0,730.0,58.656612529002324,9
24Q299,Bard High School Early College Queens,24,CHINESE/ANY,108,78.0,3866.0,2227.0,125.0,166.0,56.333333333333336,10
21K525,Edward R. Murrow High School,21,CHINESE/ANY,292,125.0,6293.0,2283.0,933.0,1196.0,53.51027397260274,11
02M418,Millennium High School,2,CHINESE/ANY,211,105.0,5541.0,2290.0,176.0,286.0,52.25118483412322,12
31R047,CSI High School for International Studies,31,CHINESE/ANY,127,81.0,1755.0,879.0,127.0,182.0,51.661417322834644,13
26Q415,Benjamin N. Cardozo High School,26,CHINESE/ANY,264,109.0,4527.0,1666.0,684.0,926.0,45.003787878787875,14
03M541,Manhattan / Hunter Science High School,3,CHINESE/ANY,137,76.0,5406.0,2689.0,108.0,176.0,42.160583941605836,15
01M539,"New Explorations into Science, Technology and Math High School",1,CHINESE/ANY,125,72.0,3743.0,2047.0,150.0,289.0,41.472,16
03M479,Beacon High School,3,CHINESE/ANY,121,66.0,7891.0,4442.0,360.0,493.0,36.0,17
22K425,James Madison High School,22,CHINESE/ANY,262,92.0,6968.0,2801.0,837.0,940.0,32.30534351145038,18
02M545,High School for Dual Language and Asian Studies,2,CHINESE/ANY,140,67.0,769.0,299.0,108.0,150.0,32.06428571428572,19
02M411,Baruch College Campus High School,2,CHINESE/ANY,175,73.0,6773.0,2753.0,118.0,188.0,30.451428571428572,20
28Q440,Forest Hills High School,28,CHINESE/ANY,207,78.0,7184.0,2477.0,702.0,851.0,29.391304347826086,21
25Q281,East-West School of International Studies,25,CHINESE/ANY,140,64.0,766.0,290.0,89.0,113.0,29.257142857142856,22
31R455,Tottenville High School,31,CHINESE/ANY,140,64.0,3274.0,1627.0,1158.0,1357.0,29.257142857142856,22
01M696,Bard High School Early College,1,CHINESE/ANY,81,48.0,3946.0,2196.0,125.0,198.0,28.444444444444443,24
20K485,High School of Telecommunication Arts and Technology,20,CHINESE/ANY,135,59.0,2973.0,1210.0,310.0,363.0,25.785185185185185,25
30Q580,Baccalaureate School for Global Education,30,CHINESE/ANY,49,28.0,1732.0,937.0,97.0,94.0,16.0,26
20K505,Franklin Delano Roosevelt High School,20,CHINESE/ANY,179,53.0,3723.0,924.0,710.0,852.0,15.692737430167599,27
24Q610,Aviation Career & Technical Education High School,24,CHINESE/ANY,56,27.0,4123.0,1548.0,530.0,723.0,13.017857142857142,28
31R440,New Dorp High School,31,CHINESE/ANY,127,39.0,2806.0,1011.0,668.0,887.0,11.976377952755906,29
31R460,Susan E. Wagner High School,31,CHINESE/ANY,100,34.0,2611.0,968.0,660.0,631.0,11.56,30
05M362,Columbia Secondary School,5,CHINESE/ANY,75,29.0,4258.0,1769.0,112.0,175.0,11.213333333333333,31
21K540,John Dewey High School,21,CHINESE/ANY,156,41.0,2573.0,622.0,553.0,577.0,10.775641025641026,32
24Q585,Maspeth High School,24,CHINESE/ANY,99,30.0,5045.0,1953.0,270.0,348.0,9.090909090909092,33
02M412,N.Y.C. Lab School for Collaborative Studies,2,CHINESE/ANY,89,28.0,3134.0,1067.0,109.0,161.0,8.808988764044944,34
