School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
25Q525,Townsend Harris High School,25,ENGLISH,3679,2598.0,6780.0,4957.0,290.0,374.0,1834.6300625169883,1
03M479,Beacon High School,3,ENGLISH,5439,3074.0,7891.0,4442.0,360.0,493.0,1737.355396212539,2
02M416,Eleanor Roosevelt High School,2,ENGLISH,4797,2371.0,7699.0,3749.0,136.0,224.0,1171.9076506149677,3
22K405,Midwood High School,22,ENGLISH,6337,2703.0,11658.0,5495.0,910.0,1323.0,1152.9444532112987,4
01M696,Bard High School Early College,1,ENGLISH,2658,1485.0,3946.0,2196.0,125.0,198.0,829.6557562076749,5
01M539,"New Explorations into Science, Technology and Math High School",1,ENGLISH,2574,1447.0,3743.0,2047.0,150.0,289.0,813.4456099456099,6
03M541,Manhattan / Hunter Science High School,3,ENGLISH,3328,1608.0,5406.0,2689.0,108.0,176.0,776.9423076923077,7
02M411,Baruch College Campus High School,2,ENGLISH,4470,1815.0,6773.0,2753.0,118.0,188.0,736.9630872483222,8
24Q299,Bard High School Early College Queens,24,ENGLISH,2249,1273.0,3866.0,2227.0,125.0,166.0,720.5553579368608,9
26Q430,Francis Lewis High School,26,ENGLISH,4139,1711.0,8708.0,3905.0,913.0,1030.0,707.3015221067891,10
02M418,Millennium High School,2,ENGLISH,3672,1512.0,5541.0,2290.0,176.0,286.0,622.5882352941177,11
31R455,Tottenville High School,31,ENGLISH,2389,1211.0,3274.0,1627.0,1158.0,1357.0,613.8639598158226,12
15K684,Millennium Brooklyn HS,15,ENGLISH,3398,1439.0,5385.0,2365.0,178.0,252.0,609.3940553266627,13
22K425,James Madison High School,22,ENGLISH,3744,1457.0,6968.0,2801.0,837.0,940.0,567.0002670940171,14
30Q501,Frank Sinatra School of the Arts High School,30,ENGLISH,2540,1156.0,3557.0,1643.0,236.0,416.0,526.1165354330709,15
26Q495,Bayside High School,26,ENGLISH,3500,1350.0,6914.0,2765.0,851.0,1041.0,520.7142857142857,16
28Q620,Thomas A. Edison Career and Technical Education High School,28,ENGLISH,3481,1333.0,6131.0,2355.0,473.0,583.0,510.4536052858374,17
05M362,Columbia Secondary School,5,ENGLISH,2745,1164.0,4258.0,1769.0,112.0,175.0,493.5868852459016,18
04M435,Manhattan Center for Science and Mathematics,4,ENGLISH,2843,1142.0,5010.0,1993.0,440.0,709.0,458.7281041153711,19
22K535,Leon M. Goldstein High School for the Sciences,22,ENGLISH,2003,922.0,3985.0,2007.0,258.0,429.0,424.4053919121318,20
21K525,Edward R. Murrow High School,21,ENGLISH,3530,1180.0,6293.0,2283.0,933.0,1196.0,394.4475920679887,21
02M260,The Clinton School,2,ENGLISH,2202,929.0,2837.0,1151.0,134.0,221.0,391.9350590372389,22
28Q440,Forest Hills High School,28,ENGLISH,3358,1135.0,7184.0,2477.0,702.0,851.0,383.6286480047647,23
02M630,Art and Design High School,2,ENGLISH,2474,962.0,3594.0,1359.0,385.0,523.0,374.06790622473727,24
26Q415,Benjamin N. Cardozo High School,26,ENGLISH,2589,936.0,4527.0,1666.0,684.0,926.0,338.39165701042873,25
24Q585,Maspeth High School,24,ENGLISH,2131,844.0,5045.0,1953.0,270.0,348.0,334.27311121539185,26
20K490,Fort Hamilton High School,20,ENGLISH,2114,813.0,4983.0,1995.0,883.0,903.0,312.662724692526,27
27Q650,"High School for Construction Trades, Engineering and Architecture",27,ENGLISH,1839,754.0,3028.0,1209.0,247.0,311.0,309.14410005437736,28
30Q580,Baccalaureate School for Global Education,30,ENGLISH,961,537.0,1732.0,937.0,97.0,94.0,300.07180020811654,29
04M555,Central Park East High School,4,ENGLISH,2922,936.0,4762.0,1538.0,125.0,215.0,299.8275154004107,30
02M412,N.Y.C. Lab School for Collaborative Studies,2,ENGLISH,2346,828.0,3134.0,1067.0,109.0,161.0,292.2352941176471,31
02M376,NYC iSchool,2,ENGLISH,1821,699.0,2459.0,931.0,118.0,158.0,268.31466227347613,32
31R460,Susan E. Wagner High School,31,ENGLISH,1763,652.0,2611.0,968.0,660.0,631.0,241.12535450935906,33
27Q323,Scholars' Academy,27,ENGLISH,811,440.0,1065.0,580.0,154.0,186.0,238.71763255240444,34
28Q686,Queens Metropolitan High School,28,ENGLISH,1368,563.0,2321.0,931.0,279.0,279.0,231.70248538011697,35
31R047,CSI High School for International Studies,31,ENGLISH,1103,500.0,1755.0,879.0,127.0,182.0,226.65457842248412,36
22K555,Brooklyn College Academy,22,ENGLISH,1896,651.0,2698.0,911.0,170.0,228.0,223.5237341772152,37
24Q610,Aviation Career & Technical Education High School,24,ENGLISH,1684,603.0,4123.0,1548.0,530.0,723.0,215.91983372921615,38
17K590,Medgar Evers College Preparatory School,17,ENGLISH,1818,622.0,2078.0,676.0,220.0,237.0,212.8074807480748,39
