School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
03M479,Beacon High School,3,FRENCH,71,47.0,7891.0,4442.0,360.0,493.0,31.112676056338028,1
02M416,Eleanor Roosevelt High School,2,FRENCH,49,26.0,7699.0,3749.0,136.0,224.0,13.795918367346939,2
02M260,The Clinton School,2,FRENCH,26,16.0,2837.0,1151.0,134.0,221.0,9.846153846153847,3
05M362,Columbia Secondary School,5,FRENCH,42,20.0,4258.0,1769.0,112.0,175.0,9.523809523809524,4
25Q525,Townsend Harris High School,25,FRENCH,20,12.0,6780.0,4957.0,290.0,374.0,7.2,5
12X641,Bard High School Early College Bronx,12,FRENCH,19,11.0,1391.0,613.0,100.0,106.0,6.368421052631579,6
03M541,Manhattan / Hunter Science High School,3,FRENCH,41,16.0,5406.0,2689.0,108.0,176.0,6.2439024390243905,7
24Q299,Bard High School Early College Queens,24,FRENCH,13,9.0,3866.0,2227.0,125.0,166.0,6.230769230769231,8
07X495,University Heights Secondary School,7,FRENCH,30,13.0,2181.0,787.0,140.0,203.0,5.633333333333334,9
22K405,Midwood High School,22,FRENCH,30,13.0,11658.0,5495.0,910.0,1323.0,5.633333333333334,9
01M539,"New Explorations into Science, Technology and Math High School",1,FRENCH,21,10.0,3743.0,2047.0,150.0,289.0,4.761904761904762,11
02M411,Baruch College Campus High School,2,FRENCH,37,13.0,6773.0,2753.0,118.0,188.0,4.5675675675675675,12
04M435,Manhattan Center for Science and Mathematics,4,FRENCH,44,14.0,5010.0,1993.0,440.0,709.0,4.454545454545454,13
15K684,Millennium Brooklyn HS,15,FRENCH,23,10.0,5385.0,2365.0,178.0,252.0,4.3478260869565215,14
27Q650,"High School for Construction Trades, Engineering and Architecture",27,FRENCH,9,6.0,3028.0,1209.0,247.0,311.0,4.0,15
02M418,Millennium High School,2,FRENCH,29,10.0,5541.0,2290.0,176.0,286.0,3.4482758620689653,16
28Q620,Thomas A. Edison Career and Technical Education High School,28,FRENCH,16,7.0,6131.0,2355.0,473.0,583.0,3.0625,17
15K497,The Boerum Hill School for International Studies,15,FRENCH,12,6.0,801.0,155.0,125.0,6.0,3.0,18
01M696,Bard High School Early College,1,FRENCH,23,8.0,3946.0,2196.0,125.0,198.0,2.782608695652174,19
09X260,Bronx Center for Science and Mathematics,9,FRENCH,38,10.0,2530.0,621.0,108.0,201.0,2.6315789473684212,20
02M376,NYC iSchool,2,FRENCH,16,6.0,2459.0,931.0,118.0,158.0,2.25,21
02M439,Manhattan Village Academy,2,FRENCH,17,6.0,3002.0,860.0,100.0,201.0,2.1176470588235294,22
04M555,Central Park East High School,4,FRENCH,33,8.0,4762.0,1538.0,125.0,215.0,1.9393939393939394,23
10X565,High School for Energy and Technology,10,FRENCH,6,1.0,503.0,51.0,120.0,6.0,0.16666666666666666,24
02M489,High School of Economics and Finance,2,FRENCH,6,1.0,1374.0,223.0,230.0,6.0,0.16666666666666666,24
23K514,Frederick Douglass Academy VII High School,23,FRENCH,6,1.0,532.0,76.0,108.0,85.0,0.16666666666666666,24
02M519,Talent Unlimited High School,2,FRENCH,6,1.0,1599.0,468.0,152.0,213.0,0.16666666666666666,24
02M533,Union Square Academy for Health Sciences,2,FRENCH,6,1.0,834.0,154.0,163.0,143.0,0.16666666666666666,24
07X334,International Community High School,7,FRENCH,6,1.0,210.0,40.0,81.0,23.0,0.16666666666666666,24
02M543,New Design High School,2,FRENCH,6,1.0,852.0,157.0,125.0,145.0,0.16666666666666666,24
27Q400,August Martin High School,27,FRENCH,6,1.0,960.0,177.0,250.0,218.0,0.16666666666666666,24
27Q480,John Adams High School,27,FRENCH,6,1.0,2490.0,480.0,636.0,644.0,0.16666666666666666,24
08X558,Westchester Square Academy,8,FRENCH,6,1.0,788.0,106.0,135.0,114.0,0.16666666666666666,24
24Q550,High School for Arts and Business,24,FRENCH,6,1.0,2257.0,552.0,191.0,255.0,0.16666666666666666,24
10X213,Bronx Engineering and Technology Academy,10,FRENCH,6,1.0,754.0,115.0,142.0,6.0,0.16666666666666666,24
03M291,West End Secondary School,3,FRENCH,6,1.0,1209.0,392.0,105.0,146.0,0.16666666666666666,24
09X263,Validus Preparatory Academy,9,FRENCH,6,1.0,264.0,33.0,90.0,6.0,0.16666666666666666,24
28Q680,Queens Gateway to Health Sciences Secondary School,28,FRENCH,6,1.0,1238.0,384.0,108.0,147.0,0.16666666666666666,24
04M680,"Heritage School, The",4,FRENCH,6,1.0,482.0,60.0,80.0,6.0,0.16666666666666666,24
03M492,"High School for Law, Advocacy and Community Justice",3,FRENCH,6,1.0,920.0,170.0,220.0,6.0,0.16666666666666666,24
09X327,Comprehensive Model School Project M.S. 327,9,FRENCH,6,1.0,706.0,224.0,90.0,103.0,0.16666666666666666,24
09X324,Bronx Early College Academy for Teaching & Learning,9,FRENCH,6,1.0,549.0,93.0,81.0,133.0,0.16666666666666666,24
11X514,The Bronxwood Preparatory Academy,11,FRENCH,6,1.0,668.0,93.0,120.0,150.0,0.16666666666666666,24
12X479,Bronx Career and College Preparatory High School,12,FRENCH,6,1.0,321.0,28.0,81.0,6.0,0.16666666666666666,24
02M438,International High School at Union Square,2,FRENCH,6,1.0,501.0,103.0,68.0,75.0,0.16666666666666666,24
02M393,Business Of Sports School,2,FRENCH,6,1.0,1151.0,248.0,129.0,210.0,0.16666666666666666,24
20K485,High School of Telecommunication Arts and Technology,20,FRENCH,6,1.0,2973.0,1210.0,310.0,363.0,0.16666666666666666,24
17K382,Academy for College Preparation and Career Exploration: A College Board School,17,FRENCH,6,1.0,837.0,124.0,108.0,6.0,0.16666666666666666,24
12X267,Bronx Latin,12,FRENCH,6,1.0,841.0,149.0,81.0,113.0,0.16666666666666666,24
29Q498,"Health, Arts, Robotics, and Technology High School",29,FRENCH,6,1.0,1435.0,293.0,196.0,264.0,0.16666666666666666,24
02M288,Food and Finance High School,2,FRENCH,6,1.0,1225.0,264.0,150.0,211.0,0.16666666666666666,24
12X271,East Bronx Academy for the Future,12,FRENCH,6,1.0,464.0,97.0,90.0,79.0,0.16666666666666666,24
08X530,Longwood Preparatory Academy,8,FRENCH,7,1.0,649.0,115.0,120.0,143.0,0.14285714285714285,53
21K540,John Dewey High School,21,FRENCH,7,1.0,2573.0,622.0,553.0,577.0,0.14285714285714285,53
12X251,Explorations Academy H.S.,12,FRENCH,7,1.0,476.0,39.0,117.0,6.0,0.14285714285714285,53
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,FRENCH,7,1.0,510.0,116.0,122.0,6.0,0.14285714285714285,53
21K410,Abraham Lincoln High School,21,FRENCH,7,1.0,2225.0,539.0,741.0,604.0,0.14285714285714285,53
11X545,Bronx Aerospace High School,11,FRENCH,7,1.0,751.0,109.0,189.0,6.0,0.14285714285714285,53
26Q430,Francis Lewis High School,26,FRENCH,7,1.0,8708.0,3905.0,913.0,1030.0,0.14285714285714285,53
20K445,New Utrecht High School,20,FRENCH,7,1.0,4568.0,1443.0,630.0,730.0,0.14285714285714285,53
