School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
25Q525,Townsend Harris High School,25,MANDARIN,492,434.0,6780.0,4957.0,290.0,374.0,382.8373983739837,1
22K405,Midwood High School,22,MANDARIN,834,521.0,11658.0,5495.0,910.0,1323.0,325.46882494004797,2
26Q430,Francis Lewis High School,26,MANDARIN,868,490.0,8708.0,3905.0,913.0,1030.0,276.61290322580646,3
15K684,Millennium Brooklyn HS,15,MANDARIN,402,216.0,5385.0,2365.0,178.0,252.0,116.05970149253731,4
26Q495,Bayside High School,26,MANDARIN,543,248.0,6914.0,2765.0,851.0,1041.0,113.2670349907919,5
20K490,Fort Hamilton High School,20,MANDARIN,643,257.0,4983.0,1995.0,883.0,903.0,102.72006220839813,6
20K445,New Utrecht High School,20,MANDARIN,587,217.0,4568.0,1443.0,630.0,730.0,80.2197614991482,7
21K525,Edward R. Murrow High School,21,MANDARIN,355,163.0,6293.0,2283.0,933.0,1196.0,74.84225352112676,8
02M418,Millennium High School,2,MANDARIN,281,136.0,5541.0,2290.0,176.0,286.0,65.8220640569395,9
02M416,Eleanor Roosevelt High School,2,MANDARIN,290,138.0,7699.0,3749.0,136.0,224.0,65.66896551724138,10
31R047,CSI High School for International Studies,31,MANDARIN,133,90.0,1755.0,879.0,127.0,182.0,60.902255639097746,11
20K485,High School of Telecommunication Arts and Technology,20,MANDARIN,298,130.0,2973.0,1210.0,310.0,363.0,56.711409395973156,12
22K535,Leon M. Goldstein High School for the Sciences,22,MANDARIN,238,112.0,3985.0,2007.0,258.0,429.0,52.705882352941174,13
03M541,Manhattan / Hunter Science High School,3,MANDARIN,145,83.0,5406.0,2689.0,108.0,176.0,47.51034482758621,14
26Q415,Benjamin N. Cardozo High School,26,MANDARIN,295,118.0,4527.0,1666.0,684.0,926.0,47.2,15
31R455,Tottenville High School,31,MANDARIN,160,84.0,3274.0,1627.0,1158.0,1357.0,44.1,16
25Q281,East-West School of International Studies,25,MANDARIN,180,86.0,766.0,290.0,89.0,113.0,41.08888888888889,17
24Q299,Bard High School Early College Queens,24,MANDARIN,115,67.0,3866.0,2227.0,125.0,166.0,39.03478260869565,18
02M411,Baruch College Campus High School,2,MANDARIN,212,88.0,6773.0,2753.0,118.0,188.0,36.528301886792455,19
28Q440,Forest Hills High School,28,MANDARIN,288,102.0,7184.0,2477.0,702.0,851.0,36.125,20
03M479,Beacon High School,3,MANDARIN,132,69.0,7891.0,4442.0,360.0,493.0,36.06818181818182,21
02M545,High School for Dual Language and Asian Studies,2,MANDARIN,197,83.0,769.0,299.0,108.0,150.0,34.96954314720812,22
01M539,"New Explorations into Science, Technology and Math High School",1,MANDARIN,133,66.0,3743.0,2047.0,150.0,289.0,32.75187969924812,23
01M696,Bard High School Early College,1,MANDARIN,90,54.0,3946.0,2196.0,125.0,198.0,32.4,24
20K505,Franklin Delano Roosevelt High School,20,MANDARIN,370,106.0,3723.0,924.0,710.0,852.0,30.36756756756757,25
24Q585,Maspeth High School,24,MANDARIN,174,67.0,5045.0,1953.0,270.0,348.0,25.798850574712645,26
22K425,James Madison High School,22,MANDARIN,203,64.0,6968.0,2801.0,837.0,940.0,20.177339901477833,27
31R460,Susan E. Wagner High School,31,MANDARIN,100,44.0,2611.0,968.0,660.0,631.0,19.36,28
31R440,New Dorp High School,31,MANDARIN,137,51.0,2806.0,1011.0,668.0,887.0,18.985401459854014,29
24Q610,Aviation Career & Technical Education High School,24,MANDARIN,116,45.0,4123.0,1548.0,530.0,723.0,17.45689655172414,30
30Q580,Baccalaureate School for Global Education,30,MANDARIN,70,32.0,1732.0,937.0,97.0,94.0,14.628571428571428,31
22K555,Brooklyn College Academy,22,MANDARIN,102,37.0,2698.0,911.0,170.0,228.0,13.42156862745098,32
21K540,John Dewey High School,21,MANDARIN,138,41.0,2573.0,622.0,553.0,577.0,12.181159420289855,33
05M362,Columbia Secondary School,5,MANDARIN,72,29.0,4258.0,1769.0,112.0,175.0,11.680555555555555,34
