School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
03M479,Beacon High School,3,SPANISH,1165,629.0,7891.0,4442.0,360.0,493.0,339.606008583691,1
26Q430,Francis Lewis High School,26,SPANISH,1683,711.0,8708.0,3905.0,913.0,1030.0,300.36898395721926,2
24Q585,Maspeth High School,24,SPANISH,1972,751.0,5045.0,1953.0,270.0,348.0,286.0045638945233,3
28Q440,Forest Hills High School,28,SPANISH,2367,807.0,7184.0,2477.0,702.0,851.0,275.1368821292776,4
25Q525,Townsend Harris High School,25,SPANISH,797,465.0,6780.0,4957.0,290.0,374.0,271.2986198243413,5
26Q495,Bayside High School,26,SPANISH,1605,629.0,6914.0,2765.0,851.0,1041.0,246.50529595015576,6
20K485,High School of Telecommunication Arts and Technology,20,SPANISH,823,435.0,2973.0,1210.0,310.0,363.0,229.92102065613608,7
24Q600,Queens Technical High School,24,SPANISH,2055,683.0,3942.0,1196.0,350.0,423.0,227.00194647201945,8
24Q610,Aviation Career & Technical Education High School,24,SPANISH,1584,575.0,4123.0,1548.0,530.0,723.0,208.72790404040404,9
02M416,Eleanor Roosevelt High School,2,SPANISH,1182,483.0,7699.0,3749.0,136.0,224.0,197.36802030456852,10
03M541,Manhattan / Hunter Science High School,3,SPANISH,846,398.0,5406.0,2689.0,108.0,176.0,187.2387706855792,11
04M435,Manhattan Center for Science and Mathematics,4,SPANISH,1324,494.0,5010.0,1993.0,440.0,709.0,184.31722054380666,12
28Q620,Thomas A. Edison Career and Technical Education High School,28,SPANISH,1444,502.0,6131.0,2355.0,473.0,583.0,174.5180055401662,13
22K405,Midwood High School,22,SPANISH,1114,440.0,11658.0,5495.0,910.0,1323.0,173.78815080789946,14
20K490,Fort Hamilton High School,20,SPANISH,915,385.0,4983.0,1995.0,883.0,903.0,161.9945355191257,15
24Q530,International High School at LaGuardia Community College,24,SPANISH,818,364.0,1236.0,505.0,119.0,114.0,161.9755501222494,16
02M411,Baruch College Campus High School,2,SPANISH,940,379.0,6773.0,2753.0,118.0,188.0,152.80957446808512,17
30Q501,Frank Sinatra School of the Arts High School,30,SPANISH,649,312.0,3557.0,1643.0,236.0,416.0,149.99075500770417,18
04M555,Central Park East High School,4,SPANISH,1290,430.0,4762.0,1538.0,125.0,215.0,143.33333333333334,19
24Q299,Bard High School Early College Queens,24,SPANISH,602,289.0,3866.0,2227.0,125.0,166.0,138.7392026578073,20
