School DBN,School Name,School District,Home Zip Code,Total Applicants Zip,True Applicants Zip,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
25Q525,Townsend Harris High School,25,11211,9,8.0,6780,4957.0,290,374,0.8888888888888888,1
30Q501,Frank Sinatra School of the Arts High School,30,11211,32,22.0,3557,1643.0,236,416,0.6875,2
03M479,Beacon High School,3,11211,42,23.0,7891,4442.0,360,493,0.5476190476190477,3
24Q299,Bard High School Early College Queens,24,11211,23,12.0,3866,2227.0,125,166,0.5217391304347826,4
01M539,"New Explorations into Science, Technology and Math High School",1,11211,30,12.0,3743,2047.0,150,289,0.4,5
15K684,Millennium Brooklyn HS,15,11211,43,17.0,5385,2365.0,178,252,0.3953488372093023,6
02M416,Eleanor Roosevelt High School,2,11211,38,15.0,7699,3749.0,136,224,0.3947368421052631,7
02M420,High School for Health Professions and Human Services,2,11211,31,12.0,2991,776.0,477,590,0.3870967741935484,8
01M696,Bard High School Early College,1,11211,25,9.0,3946,2196.0,125,198,0.36,9
02M418,Millennium High School,2,11211,42,15.0,5541,2290.0,176,286,0.3571428571428571,10
02M407,Institute for Collaborative Education,2,11211,17,6.0,836,263.0,61,73,0.3529411764705882,11
24Q610,Aviation Career & Technical Education High School,24,11211,17,6.0,4123,1548.0,530,723,0.3529411764705882,11
02M439,Manhattan Village Academy,2,11211,20,7.0,3002,860.0,100,201,0.35,13
14K071,Juan Morel Campos Secondary School,14,11211,25,8.0,341,78.0,101,69,0.32,14
14K558,Williamsburg High School for Architecture and Design,14,11211,62,18.0,1223,253.0,155,212,0.2903225806451613,15
14K561,Williamsburg Preparatory School,14,11211,81,23.0,1131,226.0,180,236,0.2839506172839506,16
02M411,Baruch College Campus High School,2,11211,38,10.0,6773,2753.0,118,188,0.2631578947368421,17
02M260,The Clinton School,2,11211,31,8.0,2837,1151.0,134,221,0.2580645161290322,18
02M376,NYC iSchool,2,11211,24,6.0,2459,931.0,118,158,0.25,19
14K488,Brooklyn Preparatory High School,14,11211,61,13.0,1061,174.0,153,6,0.2131147540983606,20
02M294,Essex Street Academy,2,11211,33,6.0,2478,562.0,90,125,0.1818181818181818,21
02M546,Academy for Software Engineering,2,11211,6,1.0,1992,388.0,125,201,0.1666666666666666,22
02M305,"Urban Assembly Academy of Government and Law, The",2,11211,6,1.0,573,75.0,100,6,0.1666666666666666,22
04M435,Manhattan Center for Science and Mathematics,4,11211,6,1.0,5010,1993.0,440,709,0.1666666666666666,22
02M551,Urban Assembly New York Harbor School,2,11211,6,1.0,724,221.0,200,6,0.1666666666666666,22
02M543,New Design High School,2,11211,6,1.0,852,157.0,125,145,0.1666666666666666,22
28Q686,Queens Metropolitan High School,28,11211,6,1.0,2321,931.0,279,279,0.1666666666666666,22
02M605,Humanities Preparatory Academy,2,11211,6,1.0,861,101.0,75,6,0.1666666666666666,22
04M555,Central Park East High School,4,11211,7,1.0,4762,1538.0,125,215,0.1428571428571428,29
02M489,High School of Economics and Finance,2,11211,7,1.0,1374,223.0,230,6,0.1428571428571428,29
05M362,Columbia Secondary School,5,11211,7,1.0,4258,1769.0,112,175,0.1428571428571428,29
14K454,The Williamsburg High School of Art and Technology,14,11211,42,6.0,893,129.0,116,120,0.1428571428571428,29
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,11211,7,1.0,510,116.0,122,6,0.1428571428571428,29
32K168,The Brooklyn School for Math and Research,32,11211,7,1.0,710,99.0,108,148,0.1428571428571428,29
02M408,Professional Performing Arts High School,2,11211,7,1.0,1255,378.0,128,180,0.1428571428571428,29
02M374,Gramercy Arts High School,2,11211,8,1.0,1038,129.0,204,78,0.125,36
02M600,The High School of Fashion Industries,2,11211,8,1.0,2046,720.0,475,395,0.125,36
24Q600,Queens Technical High School,24,11211,8,1.0,3942,1196.0,350,423,0.125,36
