School DBN,School Name,Top-10 Count,Average Rank,Aggregates
03M479,Beacon High School,186,4.688172043010753,"residential, zip, language"
03M541,Manhattan / Hunter Science High School,157,5.649681528662421,"residential, zip, language"
01M696,Bard High School Early College,151,5.006622516556291,"residential, zip, language"
25Q525,Townsend Harris High School,149,3.2885906040268456,"residential, zip, language"
02M416,Eleanor Roosevelt High School,142,5.429577464788732,"residential, zip, language"
24Q299,Bard High School Early College Queens,130,5.061538461538461,"residential, zip, language"
02M411,Baruch College Campus High School,91,7.131868131868132,"zip, language"
02M418,Millennium High School,86,6.8604651162790695,"zip, language"
30Q501,Frank Sinatra School of the Arts High School,79,5.2025316455696204,"zip, language"
22K405,Midwood High School,77,5.792207792207792,"residential, zip, language"
04M435,Manhattan Center for Science and Mathematics,63,6.650793650793651,"residential, zip, language"
26Q430,Francis Lewis High School,62,5.903225806451613,"residential, zip, language"
05M362,Columbia Secondary School,62,6.145161290322581,"residential, zip, language"
02M260,The Clinton School,60,6.083333333333333,"residential, zip, language"
15K684,Millennium Brooklyn HS,58,7.431034482758621,"residential, zip, language"
10X696,High School of American Studies at Lehman College,58,3.0,"zip, language"
30Q580,Baccalaureate School for Global Education,56,5.732142857142857,"residential, zip, language"
31R605,Staten Island Technical High School,53,3.188679245283019,"zip, language"
02M630,Art and Design High School,47,6.638297872340425,"zip, language"
22K535,Leon M. Goldstein High School for the Sciences,44,5.045454545454546,"residential, zip, language"
