School DBN,School Name,School District,Home Zip Code,Total Applicants Zip,True Applicants Zip,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
01M292,Orchard Collegiate Academy,1,10001,1,1.0,280,71.0,90,6,1.0,69
01M292,Orchard Collegiate Academy,1,10002,96,24.0,280,71.0,90,6,6.0,16
01M292,Orchard Collegiate Academy,1,10003,1,1.0,280,71.0,90,6,1.0,43
01M292,Orchard Collegiate Academy,1,10007,1,1.0,280,71.0,90,6,1.0,27
01M292,Orchard Collegiate Academy,1,10009,57,22.0,280,71.0,90,6,8.491228070175438,9
01M292,Orchard Collegiate Academy,1,10012,1,1.0,280,71.0,90,6,1.0,32
01M292,Orchard Collegiate Academy,1,10013,1,1.0,280,71.0,90,6,1.0,58
01M292,Orchard Collegiate Academy,1,10014,1,1.0,280,71.0,90,6,1.0,36
01M292,Orchard Collegiate Academy,1,10019,1,1.0,280,71.0,90,6,1.0,86
01M292,Orchard Collegiate Academy,1,10023,1,1.0,280,71.0,90,6,1.0,71
01M292,Orchard Collegiate Academy,1,10024,1,1.0,280,71.0,90,6,1.0,65
01M292,Orchard Collegiate Academy,1,10026,1,1.0,280,71.0,90,6,1.0,91
01M292,Orchard Collegiate Academy,1,10027,1,1.0,280,71.0,90,6,1.0,115
01M292,Orchard Collegiate Academy,1,10029,14,1.0,280,71.0,90,6,0.07142857142857142,89
01M292,Orchard Collegiate Academy,1,10030,1,1.0,280,71.0,90,6,1.0,94
01M292,Orchard Collegiate Academy,1,10032,1,1.0,280,71.0,90,6,1.0,104
01M292,Orchard Collegiate Academy,1,10035,1,1.0,280,71.0,90,6,1.0,92
01M292,Orchard Collegiate Academy,1,10036,1,1.0,280,71.0,90,6,1.0,79
01M292,Orchard Collegiate Academy,1,10037,1,1.0,280,71.0,90,6,1.0,69
01M292,Orchard Collegiate Academy,1,10038,8,1.0,280,71.0,90,6,0.125,24
01M292,Orchard Collegiate Academy,1,10128,1,1.0,280,71.0,90,6,1.0,65
01M292,Orchard Collegiate Academy,1,10304,1,1.0,280,71.0,90,6,1.0,33
01M292,Orchard Collegiate Academy,1,10451,1,1.0,280,71.0,90,6,1.0,162
01M292,Orchard Collegiate Academy,1,10452,1,1.0,280,71.0,90,6,1.0,203
